master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
sgg_001_019,SGG,001/019,ポケモン,悪,ゲンガーV,,E,
sgg_002_019,SGG,002/019,ポケモン,悪,ゲンガーVMAX,,E,
sgg_003_019,SGG,003/019,ポケモン,悪,クロバットV,,D,
sgg_004_019,SGG,004/019,ポケモン,悪,デルビル,,E,
sgg_005_019,SGG,005/019,ポケモン,悪,ヘルガー,,E,
sgg_006_019,SGG,006/019,ポケモン,悪,イベルタル,,E,
sgg_007_019,SGG,007/019,ポケモン,悪,モルペコ,,E,
sgg_008_019,SGG,008/019,トレーナーズ,グッズ,活力の壺,,E,
sgg_009_019,SGG,009/019,トレーナーズ,グッズ,クイックボール,,D,
sgg_010_019,SGG,010/019,トレーナーズ,グッズ,しんかのおこう,,D,
sgg_011_019,SGG,011/019,トレーナーズ,グッズ,ポケギア3.0,,D,
sgg_012_019,SGG,012/019,トレーナーズ,グッズ,ポケモンいれかえ,,F,
sgg_013_019,SGG,013/019,トレーナーズ,サポート,シバ,,E,
sgg_014_019,SGG,014/019,トレーナーズ,サポート,博士の研究 アララギ博士,,D,
sgg_015_019,SGG,015/019,トレーナーズ,サポート,冒険家の発見,,E,
sgg_016_019,SGG,016/019,トレーナーズ,サポート,ボスの指令 フラダリ,,D,
sgg_017_019,SGG,017/019,トレーナーズ,サポート,マリィ,,D,
sgg_018_019,SGG,018/019,トレーナーズ,スタジアム,あくの塔,,E,
sgg_019_019,SGG,019/019,エネルギー,闘悪,いちげきエネルギー,,E,
sgg_020_019,SGG,020/019,ポケモン,悪,ゲンガーVMAX,,E,
sgg_DAR,SGG,DAR,エネルギー,悪,基本悪エネルギー,,,
